Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio;;;;;;;;;;
28;2019;CC SAN FRANCISCO LA PRENSA;C/ALISEDA, 6 ;437044;4469856;40.37690319217390;-3.741639735552090;;cultural;JMD Carabanchel;CARABANCHEL;5;;29/09/2008;;;;;;;;;;
29;330;CSC GARCÍA LORCA;C/ EUGENIA DE MONTIJO, 105, B 1;436243;4469562;40.37420290010210;-3.7510337449848600;;cultural;JMD Carabanchel;CARABANCHEL;3;AURA;25/09/2018;;;;;;;;;;
30;974;CDM PUERTA BONITA (ANTIGUO CANÓDROMO);C/ VÍA CARPETANA, 71;437604;4472194;40.39801608457680;-3.7352725040539500;;deportivo;JMD Carabanchel;CARABANCHEL;3;AURA;07/03/2019;;;;;;;;;;
31;191;CEIP /EIM FERNANDO EL CATÓLICO;C/ FERNANDO EL CATÓLICO, 16;439802;4476182;40.434103689530400;-3.7097392943348200;;educativo;JMD Chamberí;CHAMBERI;12,5;EULEN;14/12/2019;;;;;;;;;;
32;1104;JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA);C/ HERMANOS GARCÍA NOBLEJAS, 16;445975;4476345;40.43599597484310;-3.636977491626700;7239;mixto;JMD Ciudad Lineal;CIUDAD LINEAL;25;PECSA;24/10/2018;;;;;;;;;;
33;702;"CENTRO DE DÍA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA";C/ ASCAO, 2;445600;4475637;40.42958439423380;-3.6413497414718700;3542;mixto;JMD Ciudad Lineal;CIUDAD LINEAL;17,5;PECSA;21/01/2018;;;;;;;;;;
34;1103;CC LA ELIPA Y CSS SANTA FELICIDAD;C/SANTA FELICIDAD, 37;444825;4475074;40.42447060804350;-3.6504253324201100;2380;mixto;JMD Ciudad Lineal;CIUDAD LINEAL;15;PECSA;22/08/2018;;;;;;;;;;
35;223;CC Y CMM SAN JUAN BAUTISTA;C/ SAN NEMESIO, 1;444202;4478162;40.45224737965270;-3.6580402287911900;2167;mixto;JMD Ciudad Lineal;CIUDAD LINEAL;25;PECSA;21/01/2018;;;;;;;;;;
36;214;CMM Y CSS LUIS VIVES;C/ HERMANOS GARCÍA NOBLEJAS, 170;446786;4475211;40.423960764556200;-3.628588601009720;1378;social;JMD Ciudad Lineal;CIUDAD LINEAL;10,7;PECSA;21/01/2018;;;;;;;;;;
37;509;CMM / CC / BIBILIO LA ELIPA (ANTES ISLAS FILIPINAS);C/ NUESTRA SEÑORA DEL VILLAR, 8;444814;4475167;40.42342659084210;-3.651841641389480;2250;social;JMD Ciudad Lineal;CIUDAD LINEAL;15;PECSA;24/10/2018;;;;;;;;;;
38;2094;CSS SAN VICENTE DE PAUL; C/BUITRAGO DE LOZOYA 22;439255;4480448;40.47248462688410;-3.716607833008470;;social;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;5,2;AVELSA (Avance Electrico S.L) ;01/09/2018;;;;;;;;;;
39;2446;EI ELENA FORTÚN (MONTECARMELO);AV/ M.º SILOS 57 / CAAVEIRO;441162;4484225;40.506657;-3.694447;;educativo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;7,5;ORTHEM;07/03/2019;;;;;;;;;;
40;1950;CDM VICENTE DEL BOSQUE;AV/ MONFORTE DE LEMOS, 13;441216;4481146;40.4789135943213;-3.693540659747280;7507;deportivo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;50;Ortiz;28/05/2019;;;;;;;;;;
41;1771;CDM LA MASÓ;C/ DE LA MASÓ, 190 BJ ;439451;4481771;40.48442599932080;-3.7144222564719800;8469;deportivo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;7;DRAGADOS;11/12/2019;;;;;;;;;;
42;2444;EI EL FRESNO;C/MARIA CASARES, 15 ;438637;4482886;40.494405;-3.724127;;educativo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;7,5;;26/04/2019;;;;;;;;;;
43;2443;EI POETA GLORIA FUERTES (LAS TABLAS);C/ EUNATE 6 C/CASTILLO DE CANDANCHÚ 42-46;442700;4484024;40.504951;-3.676283;;educativo;JMD Fuercarral El Pardo;FUENCARRAL - EL PARDO;7,5;CONDISA;12/02/2019;;;;;;;;;;
44;1937;CDM LUIS ARAGONÉS;C/PROVENCIO 20;446795;4479520;40.464650948053800;-3.6275877145025800;5588;deportivo;JMD Hortaleza;HORTALEZA;12,5;DRAGADOS;15/11/2018;;;;;;;;;;
45;2204;CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA;C/ PRINCESA ÉBOLI, 29;444469;4482391;40.49035310157370;-3.655261744717250;;cultural;JMD Hortaleza;HORTALEZA;20;DRAGADOS;22/02/2019;;;;;;;;;;
46;1380;JMD HORTALEZA;CARRETERA DE CANILLAS 2;444286;4479355;40.46299114016900;-3.6571542769919400;;administrativo;JMD Hortaleza;HORTALEZA;13,5;DRAGADOS;07/03/2019;;;;;;;;;;
47;895;CC FEDERICO CHUECA ;C/ BENITA ÁVILA, 17;444847;4479572;40.46498334634000;-3.650568266584690;;cultural;JMD Hortaleza;HORTALEZA;8,6;DRAGADOS;19/11/2018;;;;;;;;;;
48;547;JMD LATINA;AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL);435041;4470644;40.38385718043740;-3.7653019593724200;5193,3;administrativo;JMD Latina;LATINA;27;AURA;22/11/2018;;;;;;;;;;
49;2148;CDM LAS CRUCES ;AV/ POBLADOS, 72;435779;4470115;40.379148937377300;-3.756554762411960;;deportivo;JMD Latina;LATINA;17;FERROVIAL;08/02/2019;;;;;;;;;;
50;2299;CENTRO DE DÍA GERTRUDIS DE LA FUENTE;C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2;437062;4472332;40.39922282184550;-3.741656241718050;1768,3;social;JMD Latina;LATINA;50;AURA;25/05/2019;;;;;;;;;;
51;2260;CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA;C/ PINAR DE SAN JOSE , 104 - MADRID (28054);434109;4468407;40.36362321657020;-3.776049860378440;4132,3;social;JMD Latina;LATINA;12;;08/08/2016;;;;;;;;;;
52;1140;CDM GALLUR;C/ GALLUR, 2;437595;4472245;40.398465832065;-3.7353834506869200;6305;deportivo;JMD Latina;LATINA;20;AURA;19/02/2020;;;;;;;;;;
53;2447;EI BOLA DE CRISTAL (VALDEZARZA);C/ ISLAS BISAGOS, 13;439360;4479933;40.467857;-3.715308;;educativo;JMD Moncloa Aravaca;MONCLOA - ARAVACA;6;CYOPSA;06/12/2018;;;;;;;;;;
54;1931;IDM LA BOMBILLA;Paseo Senda del Rey, 8;437798;4476478;40.436623;-3.733391;;deportivo;JMD Moncloa Aravaca;MONCLOA - ARAVACA;12;CONDISA (grupo Ortiz);23/01/2019;;;;;;;;;;
55;850;CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES;C/ ARROYO BELINCOSO, 9;444577;4473403;40.40939173676510;-3.653214777359330;;cultural;JMD Moratalaz;MORATALAZ;10;PECSA;24/10/2018;;;;;;;;;;
56;2138;CMM EL ALMENDRO/ CSS VALDEBERARDO;C/ LADERA DE LOS ALMENDROS, 4-6;447057;4472576;40.40210302381570;-3.6239189412211400;;social;JMD Vicálvaro;VICALVARO;12,5;PECSA;24/10/2018;;;;;;;;;;
57;2461;EI SABINA (MORATALAZ);C/ CAÑÓN DEL RIO LOBOS;446468;4472964;40.405577;-3.630877;;educativo;JMD Moratalaz;MORATALAZ;6;CYOPSA;;;;;;;;;;;
58;1938;CDM MORATALAZ;C/ VALDEBERNARDO 2;446331;4472220;40.39885854572330;-3.632432290214530;8104;deportivo;JMD Moratalaz;MORATALAZ;40;FERROVIAL;08/03/2019;;;;;;;;;;
59;1745;CSS RETIRO Y APARTAMENTOS TUTELADOS ;C/ JOSE MARTÍNEZ DE VELASCO, 22;443346;4473992;40.41461489944010;-3.667774590446810;;social;JMD Retiro;RETIRO;12,5;OHL;25/03/2019;;;;;;;;;;
60;97;CEIP ESCUELAS AGUIRRE;C/ PIO BAROJA 4;442787;4473989;40.41454970248990;-3.674350860475640;;educativo;JMD Retiro;RETIRO;7;OHL;03/03/2019;;;;;;;;;;
61;124;CEIP JOSE CALVO SOTELO;AV/ CIUDAD DE BARCELONA, 83;442826;4472467;40.4008413126834;-3.6737662524006700;;educativo;JMD Retiro;RETIRO;7;OHL;03/03/2019;;;;;;;;;;
62;750;CEIP CIUDAD DE ROMA;C/ JUAN ESPLANDIÚ,2 ;443564;4474129;40.41586394930110;-3.665205626185560;;educativo;JMD Retiro;RETIRO;40;OHL;03/03/2019;;;;;;;;;;
63;2391;CMM LA ESTRELLA - CARMEN MARTÍN GAITE;C/ PEZ AUSTRAL 6 - 28007 MADRID;443476;4473852;40.41337871863890;-3.6662090478322400;;social;JMD Retiro;RETIRO;12,5;;26/10/2016;;;;;;;;;;
64;1035;CMM/CENTRO DIA/CSS LA GUINDALERA;C/ PILAR DE ZARAGOZA, 28, Bajo;443247;4476088;40.43349910050290;-3.6691167784691700;;social;JMD Salamanca;SALAMANCA;3,7;FERROVIAL;20/09/2018;;;;;;;;;;
65;35;CC BUENAVISTA Y BIBLIOTECA DAVID GISTAU;AV DE LOS TOREROS, 5;443092;4475923;40.43200210571460;-3.6709293330780200;;cultural;JMD Salamanca;SALAMANCA;7,15;FERROVIAL;13/11/2018;;;;;;;;;;
66;2074;CC JOSE LUIS LÓPEZ VÁZQUEZ;C/ FEBRERO, 4;451431;4477509;40.446818592300200;-3.572741163820910;;cultural;JMD San Blas Canillejas;SAN BLAS - CANILLEJAS;22,17;DRAGADOS;19/11/2018;;;;;;;;;;
67;1974;JMD SAN BLAS - CANILLEJAS;AV/ DE ARCENTALES, 26;448295;4476161;40.43448586473580;-3.6096102461466000;;administrativo;JMD San Blas Canillejas;SAN BLAS - CANILLEJAS;37,62;DRAGADOS;07/03/2019;;;;;;;;;;
68;2033;CDM ANTONIO DÍAZ MIGUEL;C/JOAQUIN DICENTA, 1 ;441058;4480296;40.471254265861400;-3.6953256978963800;;deportivo;JMD Tetuán;TETUAN;25;;15/01/2018;;;;;;;;;;
69;2011;CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO;PLAZA DE DONOSO, 5;440857;4480052;40.46903299144090;-3.6976620067964900;;cultural;JMD Tetuán;TETUAN;27,5;FERROVIAL;12/11/2018;;;;;;;;;;
70;1026;CSS SAN FILIBERTO;C/ SAN FILIBERTO, 5 BJ ;439298;4470826;40.38581767783420;-3.7151818881165200;;social;JMD Usera;USERA;12,5;AURA;05/03/2018;;;;;;;;;;
71;1096;CMM ORCASUR;AV ORCASUR, 64;440559;4468845;40.36805374722890;-3.700129656851360;;social;JMD Usera;USERA;8,2;AURA;19/02/2018;;;;;;;;;;
72;1095;CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ; PLAZA PUEBLO, 1 BJ1;440472;4468702;40.366768324753400;-3.701141063083800;;cultural;JMD Usera;USERA;30;AURA;16/10/2018;;;;;;;;;;
73;1092;JMD USERA;AV/. RAFAELA YBARRA, 41;439670;4470445;40.38241253009170;-3.7107515747822300;;administrativo;JMD Usera;USERA;5;AURA;14/12/2018;;;;;;;;;;
74;1894;CDM ORCASUR;C/ MOREJA, 3;440727;4469292;40.37021993373850;-3.6994689006077400;;deportivo;JMD Usera;USERA;17,5;AURA;14/02/2019;;;;;;;;;;
75;2441;EI PENSAMIENTO (MIRASIERRA);C/ MIRASIERRA, 27 ;448843;4473366;40.409341;-3.602926;;educativo; JMD Usera;USERA;9,7;IMESAPI;03/01/2019;;;;;;;;;;
76;1890;CDM VICÁLVARO (MARGOT MOLÉS);Pº POLIDEPORTIVO, 3;448815;4473344;40.40914061858400;-3.603264732850390;6856;deportivo;JMD Vicálvaro;VICALVARO;44,28;ELECTOSA ;09/05/2018;;;;;;;;;;
77;1763;CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA;C/ BULEVAR INDALECIO PRIETO, 21;447278;4472321;40.39982891410400;-3.621281890570370;3200;cultural;JMD Vicálvaro;VICALVARO;20,67;PECSA;12/11/2018;;;;;;;;;;
78;1028;CC EL MADROÑO Y BIBLIOTECA VICÁLVARO;C/ VILLARDONDIEGO, 36;448357;4472920;40.405292721436000;-3.6086161200017100;2452;cultural;JMD Vicálvaro;VICALVARO;8,2;PECSA;12/11/2018;;;;;;;;;;
79;1352;JMD VICÁLVARO;PLAZA DON ANTONIO DE ANDRÉS, 18;448578;4472583;40.402270479784800;-3.6059845330840700;1674;administrativo;JMD Vicálvaro;VICALVARO;3,7;PECSA;12/11/2018;;;;;;;;;;
80;1393;CSS PUERTO DE LAS PILAS;C/ FUENTIDUEÑA,16;447222;4469088;40.370701;-3.621679;1021;social;JMD Villa de Vallecas;VILLA DE VALLECAS;20;PECSA;12/11/2018;;;;;;;;;;
81;277;CMM VILLA DE VALLECAS ;C/ PICO DE MAMPODRE, 6;447264;4469823;40.37732438108780;-3.6212400484216900;815;social;JMD Villa de Vallecas;VILLA DE VALLECAS;6;PECSA;16/11/2018;;;;;;;;;;
82;1383;JMD VILLA DE VALLECAS;Pº FEDERICO GARCÍA LORCA, 8;447248;4469998;40.3788998244401;-3.621454785869900;3290;administrativo;JMD Villa de Vallecas;VILLA DE VALLECAS;12,5;PECSA;16/11/2018;;;;;;;;;;
83;1770;CDM FÉLIX RUBIO;C/CIUDADANÍA, 9;441281;4467659;40.357429678675200;-3.691528804696940;;deportivo;JMD Villaverde;VILLAVERDE;8,2;AURA;07/03/2018;;;;;;;;;;
84;1953;CC MARCONI;AV/ MARCONI, 2 BAJO/1;440472;4465148;40.334751832113700;-3.700809560921590;;cultural;JMD Villaverde;VILLAVERDE;10;AURA;19/02/2018;;;;;;;;;;
85;1905;CC NUEVO ROSALES;AV/ LOS ROSALES, 133;442482;4466908;40.35074797433510;-3.6773064421969200;;cultural;JMD Villaverde;VILLAVERDE;20;AURA;05/03/2018;;;;;;;;;;
86;1031;CC BOHEMIOS;C/ BOHEMIOS 1, B1;441066;4467547;40.35639654251880;-3.6940501846610800;;cultural;JMD Villaverde;VILLAVERDE;10;AURA;19/02/2018;;;;;;;;;;
87;1109;JMD VILLAVERDE;C/ ARROYO BUENO, 53, Sot Dch 1;439603;4466726;40.348895848554600;-3.71120030905872;;administrativo;JMD Villaverde;VILLAVERDE;17,5;AURA;12/11/2018;;;;;;;;;;
88;1895;CDM EL ESPINILLO;CARRETERA DE VILLAVERDE A VALLECAS, 19;441698;4467536;40.35634193991930;-3.686595141820630;;deportivo;JMD Villaverde;VILLAVERDE;10;AURA;29/01/2020;;;;;;;;;;
89;2438;EI MAMUT  (BUTARQUE);C/ MARICARA, 32;442483;4465459;40.337689;-3.677163;;educativo;JMD Villaverde;VILLAVERDE;5;UGARTE;03/01/2019;;;;;;;;;;
90;155;PARQUE BOMBEROS Nº 8;CALLE BOADA 9;444572;4471763;40.39461731837050;-3.6531308970881300;;seguridad;AG de Vicealcaldía,Portavoz, Seguridad y Emergencias;PUENTE DE VALLECAS;40;FERROVIAL;18/10/2019;;;;;;;;;;
91;;CAF-2 y Casa de Niños (antes CC Rubén Darío) ;CALLE MATAPOZUELOS 2;444896;4479194;40.461589;-3.649947;;mixto;JMD Hortaleza;HORTALEZA;9;SAVEFFI;25/03/2020;;;;;;;;;;
92;;EI PLÉYADES;AVENIDA SECUNDINO ZUAZO 52;447428;4482921;40.49533034052690;-3.62038557307297;;educativo;JMD Hortaleza;HORTALEZA;8,2;;;;;;;;;;;;
93;2408;CMM ANTONIO MINGOTE (VALLEHERMOSO);CALLE VALLEHERMOSO 47;439883;4476241;40.434646;-3.708785;;social;JMD Chamberí;CHAMBERI;5;SAVEFFI;07/07/2020;;;;;;;;;;
94;1208;BIBLIOTECA GERARDO DIEGO;CALLE  MONTE AYA,  12;447138;4469889;40.37790196240430;-3.6227296605039500;;cultural;JMD Villa de Vallecas;VILLA DE VALLECAS;8,8;ACCIONA;20/11/2020;;;;;;;;;;
95;1912;BIBLIOTECA MANUEL VÁZQUEZ MONTALBÁN;CALLE FRANCOS RODRÍGUEZ, 67;439742;4478747;40.45704133252698;-3.71060051865242;;cultural;JMD Tetuán;TETUAN;15;ACCIONA;03/12/2020;;;;;;;;;;
96;1114;CDM PLATA Y CASTAÑAR;PASEO  PLATA Y CASTAÑAR,  7;439040;4466852;40.34998997348070;-3.7178413073202800;;deportivo;JMD Villaverde;VILLAVERDE;75;ACCIONA;13/05/2022;;;;;;;;;;
97;5052;BIBLIOTECA MUNICIPAL BARRIO DE SAN FERMÍN;AVD. SAN FERMÍN, 8  28041 MADRID;441246;4469170;40.371038706146415;-3.6925563084154103;;cultural;JMD Usera;USERA;15;;01/02/2022;;;;;;;;;;
99;1930;CDM JOSE MARIA CAGIGAL;C/ SANTA POLA, 22;437491;4475985;40.43214955342780;-3.7369645992831300;;deportivo;JMD Moncloa Aravaca;MONCLOA - ARAVACA;30;SAVEFFI;16/12/2020;;;;;;;;;;
100;1825;CDM LA CONCEPCION;C/ JOSÉ DEL HIERRO, 6, 28027 MADRID;445003;4476493;40.43725652047250;-3.6484498132292000;;deportivo;JMD CIUDAD LINEAL;CIUDAD LINEAL;20;;;;;;;;;;;;
101;1776;CDM PRADILLO;C/ PRADILLO, 33, 28002 MADRID;443049;4477822;40.44910622626730;-3.671618277009410;;deportivo;JMD Chamartín;CHAMARTIN;90;;25/05/2023;;;;;;;;;;
102;1945;CDM SAN JUAN BAUTISTA;C/ TREVIANA, 1, 28043 MADRID;444154;4477763;40.44864976316050;-3.6585711797466800;;deportivo;JMD CIUDAD LINEAL;CIUDAD LINEAL;10;;04/06/2020;;;;;;;;;;
103;149;CEIP SAN JUAN DE LA CRUZ;C/ DE HONDURAS, 10, 28016 MADRID;442495;4479193;40.459537375982200;-3.67954186336266;;educativo;JMD Chamartín;CHAMARTIN;12,5;;10/11/2020;;;;;;;;;;
104;363;CEIP ARQUITECTO GAUDÍ;C/ ROSA JARDÓN, 10, 28016 MADRID;443279;4479632;40.46541828100190;-3.669067772820540;;educativo;JMD Chamartín;CHAMARTIN;25;;10/11/2020;;;;;;;;;;
105;212;CEIP ISAAC ALBÉNIZ;C/ DRACENA, 29, 28016 MADRID;443272;4479500;40.46422875441010;-3.6691267410574400;;educativo;JMD Chamartín;CHAMARTIN;24,99;;17/11/2020;;;;;;;;;;
106;245;CEIP PADRE POVEDA;AV/ ALFONSO XIII, 23, 28002 MADRID;443380;4478055;40.451218874985800;-3.6677240367753100;;educativo;JMD Chamartín;CHAMARTIN;25;;10/11/2020;;;;;;;;;;
108;2176;CMS VILLAVERDE;AVDA. FELICIDAD, 17;444759.4;4474978.7;40.359634418857205;-3.690036112299879;;social;OA Madrid Salud;VILLAVERDE;11;;01/12/2022;;;;;;;;;;
110;1076;CSC OPORTO;AVDA. OPORTO, 78;438232;4470949;40.38684744124120;-3.727740326743950;;social;JMD Carabanchel;CARABANCHEL;15;ACCIONA FACILITY SERVICES;10/11/2021;;;;;;;;;;
111;2142;CSS PABLO CASALS;C/ POBLADURA DEL VALLE, 13 ;447439;4475240;40.42612627597500;-3.6196258294576600;;social;JMD San Blas Canillejas;SAN BLAS - CANILLEJAS;14,8;;29/09/2022;;;;;;;;;;
113;5066;EDIFICACIÓN ANEXO AL ESCENARIO DEL AUDITORIO CERRO ALMODOVAR;C/ MARCELINO CASTILLO, 29, 28047 MADRID;436729.8;4471819.9;40.39457875368306;-3.745524047839076;;cultural;JMD Latina;LATINA;4;No conocen cual es la instaladora( podría ser AURA ya que la constructora que es FDEZ MOLINA trabaja con ellos);30/09/2023;;;;;;;;;;
119;5008;EI PARQUE INGENIEROS;C/TABERNERA DEL PUERTO 26;440213;4467439;40.355369099561734;-3.704068831577452;;educativo;JMD Villaverde;VILLAVERDE;5;;10/11/2020;;;;;;;;;;
126;1394;SEDE CENTRAL MADRID SALUD;AVDA. MEDITERRANEO, 62;443649.9;4473080.1;40.406428313755335;-3.6641000254946223;;administrativo;OA Madrid Salud;RETIRO;7;;01/12/2022;;;;;;;;;;
127;165;UID MONCLOA-ARAVACA;AVDA. VALLADOLID, 6;438135;4475651;40.429216284496476;-3.7295712734839443;;seguridad;AG de Vicealcaldía,Portavoz, Seguridad y Emergencias;MONCLOA - ARAVACA;5;FERROVIAL;04/01/2021;;;;;;;;;;
128;2428;IDB ORCASITAS;AVDA. RAFAELA IBARRA, 119;439613;4468757;40.36719728504001;-3.711260959329783;;deportivo;JMD Usera;USERA;49,4;EXTRACO CONSTRUCCIONS E PROXECTOS SA (subontrata Servipack Mantenimientos Industriales);;;;;;;;;;;
130;140;CENTRO ACOGIDA SAN ISIDRO;PASEO DEL REY 34;438682;4475287;40.42596;-3.72286;;social;AG de Familias, Igualdad y Bienestar Social;MONCLOA - ARAVACA;8,2;;10/11/2020;;;;;;;;;;
131;1892;CDM FAUSTINA VALLADOLID;C/LADERA DE LOS ALMENDROS, 2;447145;4472806;40.40418961057290;-3.622901144863190;;deportivo;JMD Vicálvaro;VICALVARO;100;ACCIONA FACILITY SERVICES;25/01/2022;;;;;;;;;;
132;1942;CDM SAN BLAS;C/ ARCOS DE JALÓN,  59;448173;4475549;40.4289614183123;-3.6110021948964400;;deportivo;JMD San Blas Canillejas;SAN BLAS - CANILLEJAS;35;;28/04/2021;;;;;;;;;;
